id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
3901,Anderson,Kyle,SAS,SF,WAS,14.00,2.99,0.14,3.05,1.18,0.53,0.28,0.62,1.07,0.44,0.24,1.21,2.08,0.00,0.00,3500,10,3100,5000,0,35000,0,3600,3000,SF,SF,SF,SF,,,,F,F
3034,Budinger,Chase,IND,SF,DAL,15.00,4.47,0.67,2.24,1.07,0.27,0.09,0.51,0.92,0.62,0.16,1.59,2.45,0.00,0.00,3500,10,3100,5000,0,42200,0,4400,3600,SF,SF,SF,SG;SF,,,,F,F
3708,Withey,Jeff,UTA,C,NOR,11.00,3.48,0.00,2.61,0.45,0.16,0.95,0.34,1.13,1.23,0.51,1.13,1.10,0.00,0.00,3600,10,3100,5000,0,35000,0,4800,3000,C,C,C,C,,C,,C,C
2707,Brooks,Aaron,CHI,PG,MEM,10.00,5.18,0.87,1.01,1.52,0.26,0.07,0.73,0.85,0.86,0.16,1.72,2.37,0.00,0.00,3800,10,3400,6950,0,51800,0,6200,3500,PG,PG,PG,PG,,,,G,G
3976,Sampson,JaKarr,PHI,SF,@ ATL,13.00,4.47,0.38,2.12,0.80,0.45,0.23,0.90,1.30,0.73,0.33,1.68,2.46,0.00,0.00,3500,10,3100,5000,0,38500,0,4100,3400,SF,SG,SF,SG;SF,,,,F,F
3905,Brown,Markel,BKN,SG,MIA,15.00,3.76,0.27,1.79,0.92,0.75,0.24,0.38,1.14,0.70,0.14,1.40,2.34,0.00,0.00,3500,10,3200,5000,0,35000,0,3100,3500,SG,SG,SG,SG,,,,G,G
1927,Blake,Steve,DET,PG,BOS,15.00,2.75,0.53,1.48,2.60,0.27,0.18,1.37,0.43,0.32,0.12,0.96,1.94,0.00,0.00,3500,10,3100,5000,0,48300,0,4700,3300,PG,PG,PG,PG;SG,,,,G,G
2809,Augustin,DJ,OKC,PG,POR,12.00,4.47,0.62,0.82,1.78,0.23,0.00,0.55,0.71,1.19,0.15,1.33,1.96,0.00,0.00,3500,10,3100,5000,0,35000,0,3400,3500,PG,PG,PG,PG,,,,G,G
2853,Morrow,Anthony,OKC,SG,POR,13.00,5.15,1.04,1.14,0.34,0.42,0.05,0.26,0.70,0.62,0.08,1.74,1.97,0.00,0.00,3500,10,3100,5000,0,35000,0,3400,3700,SG,SF,SG,SG;SF,,,,G,G
3024,Blair,DeJuan,WAS,C,@ SAS,9.00,4.03,0.00,2.32,0.43,0.44,0.08,0.60,1.75,0.54,0.31,1.75,1.74,0.00,0.00,3500,10,3100,5000,0,35000,0,3100,3000,C,C,C,PF;C,,C,,F,C
3041,Cunningham,Dante,NOR,PF,@ UTA,16.00,3.03,0.26,2.57,0.46,0.47,0.23,0.40,0.96,0.32,0.21,1.22,1.52,0.00,0.00,3500,10,3200,6900,0,44200,0,5500,3300,PF,SF,SF,SF;PF,,,,F,F
